A W S Y
1 3.1861039577052 2.12599626226181 1.04148424920102
1 4.46548679564148 2.67026693582914 10.8029598372617
1 6.87424036022276 -1.03139525801264 1.87946437588081
1 10.8984934799373 9.20366630591366 24.4821611703613
1 2.42018317244947 4.40588537081264 4.13170101196594
1 10.7806762196124 1.24637612313305 10.039040169698
1 11.3361032232642 5.63866811248771 13.2710204618579
1 7.92957350984216 0.118225741985365 4.13568406974467
1 7.54936852678657 7.13347552242757 27.2977720892605
1 0.741435245610774 0.81687934093172 -2.2282260547534
1 2.47169489879161 -4.96447256935573 -1.935626517689
1 2.11868103034794 6.09235758619871 16.2785601183833
1 8.24427415989339 5.39668739818626 21.4233392053473
1 4.60924461856484 -0.322948958076126 -8.9238687375267
1 9.23809703998268 -2.23112489798076 -6.71325223213544
1 5.97239090502262 -3.50358274208993 -0.184204861091253
1 8.61142209917307 1.19295938620872 21.50199628206
1 11.9028731379658 -3.501785731839 10.5729632219878
1 4.56042215321213 -0.443404056324925 2.99103182760926
1 9.32934265583754 2.49071636713587 21.9387830907111
1 11.2164627732709 4.56655766615121 19.5383879999833
1 2.5457102553919 -0.459889380639214 1.56759574104349
1 7.82008519303054 1.62919172007297 20.2571035423445
1 1.50666115153581 2.7648447081243 -0.0971674271236029
1 3.20664802473038 7.15677901471197 16.6460871265813
1 4.63336911052465 -0.875630582581358 -2.30711961155607
1 0.160683997906744 -2.81293078528144 -8.72803025984376
1 4.58865548484027 -3.53682826513241 -12.2467191184396
1 10.4362901486456 3.66721155586931 18.497139530827
1 4.08418796025217 1.81964242594889 13.6101039539286
1 5.78496138565242 4.31625891317938 13.8950108614215
1 7.19478990510106 1.57748183852794 8.56544463261938
1 5.92249568458647 3.17928177654278 15.9625803088543
1 2.23461121693254 2.67265572247834 15.6771061870896
1 9.92847982328385 2.07062595550574 19.996355518462
1 8.02160085830837 0.131112020705635 13.0834405064358
1 9.53087832871825 5.78602814187917 29.5832333058834
1 1.29532351065427 0.782677871672686 -3.07346131878177
1 8.68453135248274 4.00029131432744 16.3058759014249
1 4.93529315572232 2.49391746359038 15.5757852472619
1 9.85135552939028 7.34457342436151 20.9738425843227
1 7.7647223258391 4.13364189297163 20.3350978399198
1 9.39519314747304 0.986926532412889 11.8798210065237
1 6.63643573969603 1.97255314319794 16.7924770136942
1 6.35663496237248 1.6240723747597 -1.47790989129478
1 9.47227478027344 -4.2725382909169 2.91561319230568
1 0.279974428005517 7.09218168446205 20.5989069955617
1 5.72676078043878 5.19164346346253 19.4172000819568
1 8.7877648640424 -0.299849908675817 16.8333049274261
1 8.31277867779136 3.14602267751114 14.1595099423801
1 5.73143546562642 2.72568771082096 10.5038844623057
1 10.3345137219876 -1.39827823315726 12.6768362785468
1 5.25716528669 6.46972224095968 17.0831051685712
1 2.9375673243776 1.2552586850931 14.0163957939811
1 0.848148565739393 2.55075112383036 18.4402554779602
1 1.19359392207116 3.21461302831924 4.21787934807247
