A W S Y
1 0.987020812463015 4.72973062148844 1.61599009931274
1 3.48617313429713 11.0053833884486 3.03347230577481
1 5.36291636992246 9.74427869237362 27.9976209515652
1 0.337731309700757 6.29838507676501 0.913425610818451
1 3.06403160328045 2.12858722407378 4.42569606253843
1 5.84602653048933 10.749015864452 30.9751801898804
1 2.42696320638061 5.85195140134877 3.07476580977793
1 9.75008044624701 3.8311922704383 10.775186188726
1 1.99322380591184 0.860532717437899 3.16818822063787
1 4.95810316177085 5.21830560478574 1.67129264692762
1 7.66894799424335 3.938806207946 10.4878850330679
1 4.44348707329482 3.2630719236759 5.07178138084451
1 5.54476446239278 6.48245009958274 17.7055211455769
1 0.474390259478241 2.85898444060738 2.7251914948671
1 1.44737049005926 6.02159247589891 2.88808505258633
1 5.65890576690435 9.7205542246366 26.5620226329069
1 8.95915458444506 15.3569592787962 45.952246631412
1 8.63600097363815 4.78255764495889 11.1850806644025
1 8.86285936459899 7.66641656399008 24.7488434087536
1 8.5947950812988 8.73031037207091 24.2044775861194
1 4.82896054163575 3.59211992816608 3.52061156631596
1 5.70642366772518 2.93562218237338 9.70861159547544
1 2.09936674451455 2.13184500098629 2.64544643264472
1 6.93834568373859 10.9888601424904 31.2971612559815
1 9.15335757425055 6.07423107670439 17.2234313156093
1 1.47551209898666 11.7180379967125 3.88961486107895
1 6.8317664321512 3.97218396294939 10.5663558920645
1 9.47865887079388 12.3818165187115 36.6346726468173
1 0.0877130473963916 7.89969099063525 2.12996109548042
1 5.28906409628689 5.99434555315583 14.9829258404243
1 4.48164043482393 9.53310182324879 2.81652680085361
1 9.789281450212 8.90296734263129 25.2160363216545
1 4.18012269074097 6.22371256255422 1.81679759630659
1 9.81213778723031 3.35552671455223 8.91592641105079
1 3.75737690366805 4.66557546202393 3.16395254115526
1 3.27965592034161 2.36696738893558 2.75609699461398
1 8.3823509933427 5.22696379877338 16.4268359732872
1 7.38072364125401 1.07433381093106 2.677066741413
1 5.08496424648911 5.21094694983741 12.9614397202656
1 5.22629987215623 13.8539586118813 40.705494747271
1 6.51999818626791 3.91816029279067 10.7331185270148
1 6.74019006080925 13.9946571941813 39.1241330044244
1 7.34589495230466 7.95682034917003 22.9286215889243
1 8.24713324662298 15.4325512551285 45.1739622773917
1 9.66164858313277 7.35473865924805 22.0850639941961
1 1.11385941738263 5.46172897745975 0.674426190508622
1 2.37139999633655 2.80450169523935 2.95875766565493
1 8.13615112798288 4.53520642674353 13.3959586666255
1 5.21728792227805 4.5910128656441 13.2121805048611
1 8.35072298767045 5.11834001411671 13.2997563526083
1 8.09746503829956 5.34451479197508 15.3194895931123
1 3.85514351539314 2.73506497422156 0.446908543331878
1 4.27718241233379 7.97851087922029 1.48067827885668
1 9.21228605089709 3.44594995662896 8.9073161815216
1 4.06529355095699 5.67570107982061 2.92315128925828
1 4.00587448151782 7.39042707432235 4.6148484913891
1 5.38999560056254 6.08897661460366 17.1784071413138
1 9.52439514221624 3.27203022631775 8.14417270513218
1 1.6010391456075 1.56311660560878 1.82377319856024
1 6.20554277207702 5.42259411959352 15.9276523412555
1 6.36027247644961 9.60216358263165 27.0781894919355
1 0.336924227885902 4.12707178598342 3.43567655298051
1 1.74979106523097 2.76489537016652 3.12582067083207
1 8.69761739624664 5.55286685232903 15.240098824732
1 9.44424709537998 2.06356420968581 6.16394493983275
1 6.77057279041037 1.58690801858495 3.36459120827654
1 9.33766887756065 3.62017034088569 11.3859265222074
1 2.02101216418669 2.11431293810483 1.93388231231052
1 2.30590610299259 12.1449183162817 0.822609014566243
1 6.62983406800777 4.74723267984397 12.5628324086082
1 4.70453416695818 10.6692648939388 0.927409080188708
1 2.59901581564918 9.51397140978508 3.35467373590777
1 6.99585360940546 6.36585836683084 17.046477025323
1 4.99646887183189 13.4722082487083 1.49233526402726
1 8.08242142433301 2.26240863733503 5.5727544270764
1 2.1261685108766 8.70894767964049 -0.659318717853507
1 7.02770622679964 5.6068331097223 17.4089859581223
1 6.94816427771002 3.83505294753295 10.9124498499368
1 3.31549203488976 3.18398061520891 3.08603000085348
1 4.41417146474123 3.76092023850009 4.03424007384333
1 6.43534127855673 15.1815659902311 44.0748546534887
1 4.85890653682873 6.09564278691975 3.60076474008507
1 7.99501258414239 5.60460673456135 18.3234923788149
1 4.39097327413037 10.3794923465394 4.7307199350694
1 0.991462636739016 11.95338707229 1.97556547668332
