delta.B se.delta.B p.value.B delta.AB se.delta.AB p.value.AB delta.P.k1 se.delta.P.k1 p.value.P.k1 delta.P.k2 se.delta.P.k2 p.value.P.k2 delta.P.k3 se.delta.P.k3 p.value.P.k3
1.63260618440179 0.464267340472701 0.000437240891167257 0.833353087860596 0.25383951721231 0.00102711604027839 1.44511310405981 0.418531846560792 0.000554769005410627 1.46313555389955 0.419768832312548 0.000491081385941117 1.68880631294578 0.433154915884998 9.66503736825608e-05
0.533172867861172 0.466546327351171 0.253118323132164 0.569509511922405 0.229417311243956 0.0130494339401588 0.421992038157086 0.429719118064814 0.326090832361257 0.4598280086938 0.428921119851968 0.283694305638794 0.310764814150088 0.440605124577742 0.480615059861016
1.69072224054081 0.461398614929671 0.000247975433920411 0.985454377452252 0.255638119731667 0.000115786218926273 1.45395109469036 0.429469822769427 0.000710601571290548 1.49921455308869 0.429572257528273 0.00048298952030601 1.64512888900313 0.445275165058184 0.00022020349976426
2.88048518158741 0.486996921020676 3.3229652363076e-09 1.4519653555465 0.279959155572125 2.14458936609319e-07 2.41933616868505 0.439834674323809 3.78591029637221e-08 2.40259428701109 0.441491946994608 5.26889514240736e-08 2.53826151370853 0.457040497805967 2.79700382854742e-08
1.19801935220955 0.454456743437612 0.00838509105787932 0.354151284792909 0.258306403764885 0.170359020128031 0.869106515475016 0.418367413171574 0.0377668492027701 0.953081760901489 0.418322579741485 0.022706229352919 0.914977908686555 0.433290549834107 0.0347125347622781
1.66570830032543 0.461389297073816 0.000305959308588344 0.705414499573218 0.220177670382655 0.00135606806032884 1.45332626799429 0.430862389632177 0.000743367643291526 1.4369080229727 0.436016401318692 0.000982338951349693 1.39991677803374 0.443249592072978 0.00158690202619316
1.30461103074871 0.491900524498738 0.00799727883402102 0.426233648189063 0.238392436711325 0.0737841488047213 0.908521878266428 0.440970989310444 0.0393721776229974 0.931088792922711 0.442352912945706 0.035303921540571 1.05331632612216 0.453864066067004 0.0202989966184286
1.90400963896666 0.475611759317086 6.24688516330796e-05 0.722131606169138 0.259725280726774 0.00542974920349271 1.35363173228728 0.421205281048978 0.00131031823413785 1.42293537263466 0.422692749527901 0.000761676206440187 1.52902701024058 0.442964308262339 0.000556847229107982
1.4923081366959 0.480454783486143 0.00189615921597031 0.528243119707925 0.278520632024576 0.0578803290134804 1.48609552696988 0.428476835588346 0.000523719841304393 1.44134521035772 0.428491256564162 0.000768861244579311 1.49151241473836 0.446594653367761 0.000838552443391594
2.19021764430848 0.455897822742976 1.55382835465012e-06 0.579481498261107 0.260420611614318 0.0260694760013689 2.00100956240485 0.41253271586228 1.23121099893098e-06 2.00786598148667 0.413605705701726 1.20665719327562e-06 2.06354589044277 0.428332817695696 1.45278778918012e-06
1.58148620068003 0.461612642911066 0.000612534099236228 0.681862443506073 0.246275885223722 0.00562815532312855 1.44248530424493 0.425401664340698 0.000696690113816123 1.47283458075238 0.425947048549146 0.000544629833301391 1.39407870139988 0.437748815158194 0.00144926962173764
